ref,title,author,lastRunTime,totalVotes,sortRank
paul720810/hermes-openclaw-attack-v20-20260707-041613,Hermes OpenClaw Attack v20-20260707-041613,Paul720810,2026-07-07T04:24:07.803000,1,147
yaroslavkholmirzayev/ai-agent-security-v8-9-10-11,AI Agent Security - V8-9-10-11,Yaroslav kholmirzayev,2026-06-13T16:31:44.520000,11,148
tkhanna96/h006-s1-anchor-len60-n400,H006 S1 Anchor Len60 N400,Tkhanna96,2026-06-20T16:37:51.850000,4,149
paul720810/hermes-openclaw-attack-e005-20260628-001654,Hermes OpenClaw Attack E005-20260628-001654,Paul720810,2026-06-28T00:16:57.580000,4,150
paul720810/hermes-openclaw-attack-e005-20260630-161123,Hermes OpenClaw Attack E005-20260630-161123,Paul720810,2026-06-30T16:11:27.837000,3,151
devchandra/ai-agent-security-v25-dual-350,AI Agent Security V25 Dual 350,Dr Chandrasen Pandey,2026-06-19T05:11:16.107000,0,152
paul720810/hermes-openclaw-attack-e005-20260627-060617,Hermes OpenClaw Attack E005-20260627-060617,Paul720810,2026-06-27T06:06:21.677000,4,153
paul720810/hermes-openclaw-attack-e005-20260627-140935,Hermes OpenClaw Attack E005-20260627-140935,Paul720810,2026-06-27T14:09:39.207000,7,154
paul720810/hermes-openclaw-attack-e005-20260627-101429,Hermes OpenClaw Attack E005-20260627-101429,Paul720810,2026-06-27T10:14:32.553000,1,155
rageshthangaraj/defensive-red-teaming,Defensive red-teaming ,Ragesh Thangaraj,2026-07-09T11:13:22.580000,3,156
paul720810/hermes-openclaw-attack-v19-replica-20260707-122726,Hermes OpenClaw Attack v19-replica-20260707-122726,Paul720810,2026-07-07T12:27:30.230000,3,157
akshitasrivastava1/omega-attack-v5-0-ai-agent-security,OMEGA ATTACK v5.0 - AI Agent Security,Akshita Srivastava,2026-06-18T22:04:20.273000,3,158
outliar/agi-deputy-nb1-v11b-gpt2000-gem2000-sub,agi-deputy-nb1-v11b-gpt2000-gem2000_sub,Mohammad Shadab Alam,2026-08-27T13:27:46.890000,0,159
mayuening/notebookde0d25bc7d,notebookde0d25bc7d,Ma Yuening,2026-07-05T15:39:32.867000,4,160
aleaiest/13th-aisec-cdrole-adaptive,🥇 13th: aisec-cdrole-adaptive,Taewoong Kim,2026-09-02T05:23:21.907000,0,161
paul720810/hermes-openclaw-attack-e005-20260626-161244,Hermes OpenClaw Attack E005-20260626-161244,Paul720810,2026-06-26T16:12:49.710000,8,162
adonisleu/jed-attack-submission,JED Attack Submission,ElijahMingLiu,2026-07-04T05:59:03.727000,35,163
verise6211/aas-pilk-a3-k4,aas-pilk-a3-k4,verise6211,2026-07-06T00:11:49.123000,1,164
kojimar/ai-agent-security-attack-baseline,AI Agent Security Attack Baseline,islet,2026-06-13T06:01:39.537000,26,165
paul720810/hermes-attack-v34-dual-post-20260715-063801,Hermes Attack v34-dual-post-20260715-063801,Paul720810,2026-07-15T06:38:04.810000,2,166
mdabdulalhasib/solution-using-very-deep-reaserch,Solution using very deep reaserch,Md Abdul Al Hasib,2026-06-14T14:47:53.540000,9,167
kashyapsinhgohil/27-3-eda-agent-security-trajectory-search,27.3-EDA: Agent Security Trajectory Search,Kashyapsinh gohil,2026-06-13T10:47:06.970000,6,168
pilkwang/eda-agent-security-trajectory-search,EDA: Agent Security Trajectory Search,Pilkwang Kim,2026-06-13T22:34:19.580000,125,169
junaid512/ai-agent-security-dense-exfiltration-calibrate,AI Agent Security — Dense Exfiltration calibrate ,Muhammad Junaid,2026-06-24T15:15:13.070000,6,170
yaroslavkholmirzayev/ai-agent-security-trajectory-search,👾AI Agent Security - Trajectory Search,Yaroslav kholmirzayev,2026-06-13T08:29:31.747000,23,171
anthonytherrien/agent-security-trajectory,Agent Security Trajectory,AnthonyTherrien,2026-06-13T11:29:02.027000,21,172
qyq1693/ai-agent-security-multiturn-v14,ai-agent-security-multiturn-v14,QYQ1693,2026-07-12T08:29:21.547000,3,173
arnavkewalram/ais-attack-notebook,AIS Attack Notebook,Arnav Kewalram,2026-06-24T11:11:29.803000,18,174
kokinnwakashuu/ai-agent-security-v035-marker-stack,AI Agent Security v035 marker stack,kokinnwakashuu,2026-07-01T16:15:42.467000,3,175
maximbatykovich/ai-agent,AI Agent,Maxim Batykovich,2026-06-15T18:47:19.370000,11,176
eugeneyeung/ai-agent-security-private-pp-corp-wide,AI Agent Security Private PP Corp Wide,EUGENEYEUNG,2026-09-02T12:31:39.857000,4,177
cdeotte/final-cd5,final-cd5,Chris Deotte,2026-09-01T11:22:00.160000,12,178
kkrasikov/workingnote-66th-place-submission,[WorkingNote] 66th place submission,Kirill Krasikov,2026-09-03T01:47:28.770000,2,179
tatuhelander/jed-attack-forge33-email,JED Attack Forge33 Email,Tatu Helander,2026-08-30T04:56:56.473000,0,180
adhirajjagtap/omni-stack-multiplier-v25,OMNI_STACK_MULTIPLIER_V25,Adhiraj Jagtap,2026-06-28T15:51:02.503000,18,181
akshitasrivastava1/omega-attack-v9-0-secret-marker-n250,omega attack v9 0 secret marker n250,Akshita Srivastava,2026-06-25T16:01:05.927000,7,182
seungjunleeofficial/aas-v14-cd-only-kaggle-submit,aas_v14_cd_only_kaggle_submit,Seungjun Lee,2026-08-31T08:23:03.777000,1,183
caoyupeng/ai-agent-security-trajectory-search-plus-2,AI Agent Security - Trajectory Search Plus-2,SpeedSci,2026-06-13T06:19:16.750000,8,184
samwiz/aas-v8deputy-gpu,AAS v8deputy GPU,Sam-wiz,2026-08-31T18:00:03.953000,1,185
hiranorm/publiclb-21-465-privatelb-21-465-aas-email-hedge,"[publicLB:21.465,privateLB:21.465]aas-email-hedge",Hira Norm,2026-08-26T15:30:22.893000,0,186
imbikramsaha/ai-agent-security-baseline-score-21-285,AI Agent Security - Baseline | Score - 21.285,Bikram Saha,2026-06-15T18:09:29.880000,5,187
ruhul20/red-team-ai-agent-security,Red-team AI Agent Security,Ruhul Amin,2026-08-29T10:25:53.707000,5,188
josephadamski91/conditional-draft-generation-control-v4,Conditional Draft Generation Control V4,Joseph Adamski,2026-08-30T00:10:43.450000,2,189
zhtngr/suffix-allow-guardrail-033-n700,Suffix Allow Guardrail 033 n700,kawasaki,2026-06-30T00:11:39.417000,0,190
anvithpothula/aisec-jedcd6,aisec-jedcd6,Anvith Pothula,2026-08-31T01:57:22.693000,1,191
ducnamphan/jed-v6-0-proven-format,JED v6.0 — Proven Format,Duc Nam Phan,2026-07-07T07:02:41.840000,1,192
sebastianmateus/champion-v8-1-cdframe-0811000200,Champion V8 1 Cdframe 0811000200,Sebastian Mateus,2026-08-11T00:02:04.833000,0,193
ducnamphan/jed-v13-0-fixed-n-250,JED v13.0 Fixed N=250,Duc Nam Phan,2026-07-09T06:54:38.997000,1,194
aleixlopez/v49-confused-deputy-hedge,v49_confused_deputy_hedge,Aleix López,2026-08-30T18:34:13.233000,0,195
